0																				
2	35.7276654	50.63236																		
	30.57925374	57.3623647																		
1.5	25.98422794	56.25846																		
																				
2	12.99212794	56.25846																		
																				
	5.80422964	59.06727502	3.2461454	59.06727502																
																				
1.25	0	50.8																		
	-1.25	59.06727502																		
2	-6.4947546	56.25846																		
																				
	-15.66643277	50.14403465	-15.66643277	59.06727502																
	-20.30887282	59.06727502																		
2	-25.9841746	56.25846																		
	-32.4814946	56.25846																		
1.5	-35.7276146	50.63236																		
																				
1.5	-45.4735946	33.75406																		
	-41.52973869	41.50211838																		
2	-35.7276146	39.38016																		
																				
2	-16.240687	39.37987914																		
																				
2	3.2461454	39.38016																		
																				
2	22.7414328	39.37																		
																				
2	42.2249854	39.38016																		
	31.92719391	42.70618207																		
2	51.9684254	22.50186																		
	55.2170854	24.38708186																		
	57.40896997	14.91988198	50.8	11.56289897	40.43482485	17.89082939	42.2249854	24.2046362	49.17483277	30.28235038	47.42483119	33.18341737								
																				
2	32.4815454	22.50186																		
																				
2	12.9921254	22.50186																		
																				
2	-6.4947546	22.50186																		
																				
2	-25.9841746	22.50186																		
																				
2	-45.4735946	22.50186																		
																				
1.5	-55.2170346	16.87576																		
	-59.15143364	17.89082939	-59.27415182	0.00000254																
2	-61.71440794	-5.62356254																		
																				
1.25	-50.8	0.00000254																		
	-49.81757157	8.9242494																		
1.5	-61.7143546	5.62356																		
	-53.06088465	11.56289897																		
2	-35.72761714	5.62356																		
	-40.05282693	4.65605246																		
2	-42.2249346	-5.62356																		
																				
2	-22.7355654	-5.62356																		
	-21.46595309	7.0998388																		
2	-16.24073714	5.62356																		
																				
2	3.2461454	5.62356																		
	-3.2460946	6.53906388																		
2	-3.2460946	-5.62356																		
																				
2	16.2407854	-5.62356																		
	15.30014846	7.0998388																		
2	22.7355654	5.62356																		
																				
2	42.2249854	5.62356																		
	35.7276654	7.0998388																		
2	35.7276654	-5.62356																		
																				
1.25	50.8	0																		
																				
2	61.7144054	5.62356																		
	55.2170854	7.0998388																		
1.5	61.7144054	-5.62356																		
	65.87073577	-3.53796375	64.16320177	-9.92912961																
1.5	55.2170854	-16.87576																		
																				
2	45.4736454	-22.50186																		
	33.36	-19.27																		
1.5	45.4735946	-33.75406																		
																				
2	25.9842254	-22.50186																		
																				
2	6.4947546	-22.50186																		
																				
2	-12.9921254	-22.50186																		
																				
2	-32.4814946	-22.50186																		
																				
	-45.4735946	-14.54522232	-51.9683746	-11.24258309	-59.27415182	-13.25006968														
																				
2	-51.9683746	-22.50186																		
	-56.3632012	-21.30567927																		
	-51.2094617	-29.68475093	-49.82498029	-32																
																				
2	-42.22498794	-39.38016																		
																				
2	-22.7414328	-39.37																		
																				
2	-3.2460946	-39.38016																		
																				
2	16.2407346	-39.38016																		
																				
2	35.7276654	-39.38016																		
	41.23965942	-39.38016																		
1.5	35.7276146	-50.63236																		
																				
2	25.9842254	-56.25846254																		
	19.48815	-53.25969225																		
	20.53912883	-60.13816808	12.9921254	-60.13816808																
																				
2	6.4947546	-56.25846																		
																				
1.25	0	-50.8																		
	-5.66096149	-48.53777808																		
	0	-60.13816808	-5.19755234	-60.13816808																
	-6.4947546	-53.25969225																		
2	-12.9920746	-56.25846																		
																				
1.5	-25.9841746	-56.25846																		
																				
2	-35.7276146	-50.63235492																		
																				
	8.81347972	-45.55472686	18.5542131	-49.09231948	43.43086767	-6.61216898														
																				
	34.07226473	11.56289897	3.25	-45.55472686	-16.4453053	-45.55472686	34.07226473	43.59904332	18.5372851	49.24096237	-31.2290388	-35.74156305	-42.22498794	-24.95831686	-4.3981455	45.1396935	-23.4261337	45.1396935	-45.4735946	7.49076226
