0		0	0
7	1	84.491	-0.048	87.955	1.952	87.955	1.952
0	1	0	0	0	0	0	0
7	1	72.410	13.904	75.874	15.904	75.874	15.904
0	1	0	0	0	0	0	0
7	1	66.368	31.346	69.832	33.346	69.832	33.346
0	1	0	0	0	0	0	0
7	1	54.284	45.299	57.748	47.299	57.748	47.299
0	1	0	0	0	0	0	0
7	1	54.284	10.415	56.284	6.951	56.284	6.951
0	1	0	0	0	0	0	0
7	1	66.368	3.439	68.368	-0.025	68.368	-0.025
0	1	0	0	0	0	0	0
7	1	60.326	-7.026	63.981	-8.651	63.981	-8.651
0	1	0	0	0	0	0	0
7	1	78.452	-17.491	74.452	-17.564	74.452	-17.564
0	1	0	0	0	0	0	0
7	1	48.242	-20.98	51.143	-23.733	51.143	-23.733
0	1	0	0	0	0	0	0
7	0	54.284	-31.445	56.575	-34.723	58.229	-32.106
0	1	0	0	0	0	0	0
7	0	60.520	-35.384	58.229	-32.106	62.388	-31.847
0	1	0	0	0	0	0	0
7	0	66.368	-31.445	62.388	-31.847	64.500	-34.982
0	1	0	0	0	0	0	0
7	0	60.520	-35.384	64.500	-34.982	56.575	-34.723
0	1	0	0	0	0	0	0
7	1	60.326	-48.887	56.328	-48.816	56.328	-48.816
0	1	0	0	0	0	0	0
7	1	42.200	-52.375	42.700	-56.343	42.700	-56.343
0	1	0	0	0	0	0	0
7	1	48.242	-69.813	44.269	-70.261	44.269	-70.261
0	1	0	0	0	0	0	0
7	1	30.116	-73.305	26.246	-72.293	26.246	-72.293
0	1	0	0	0	0	0	0
7	1	11.990	-69.817	12.760	-65.892	12.760	-65.892
0	1	0	0	0	0	0	0
7	1	18.032	-52.375	14.458	-50.578	14.458	-50.578	
0	1	0	0	0	0	0	0
7	0	6.199	-45.830	7.5760	-42.075	3.900	-49.104
0	1	0	0	0	0	0	0
7	0	-0.094	-48.887	3.900	-49.104	2.205	-45.613
0	1	0	0	0	0	0	0
7	0	6.199	-45.830	2.205	-45.613	4.570	-42.177
0	1	0	0	0	0	0	0
7	0	5.948	-38.422	4.570	-42.177	7.576	-42.075
0	1	0	0	0	0	0	0
