0				
2	35.7276654	50.63236		
	30.57925374	57.3623647		
1.5	25.98422794	56.25846		
				
2	12.99212794	56.25846		
				
1.25	0	50.8		
	-1.25	59.06727502		
2	-6.4947546	56.25846		
	-20.30887282	59.06727502		
2	-25.9841746	56.25846		
	-32.4814946	56.25846		
1.5	-35.7276146	50.63236		
				
1.5	-45.4735946	33.75406		
	-41.52973869	41.50211838		
2	-35.7276146	39.38016		
				
2	-16.240687	39.37987914		
				
2	3.2461454	39.38016		
				
2	22.7414328	39.37		
				
2	42.2249854	39.38016		
	31.92719391	42.70618207		
2	51.9684254	22.50186		
				
2	32.4815454	22.50186		
				
2	12.9921254	22.50186		
				
2	-6.4947546	22.50186		
				
2	-25.9841746	22.50186		
				
2	-45.4735946	22.50186		
				
1.5	-55.2170346	16.87576		
	-59.15143364	17.89082939	-59.27415182	0.00000254
2	-61.71440794	-5.62356254		
				
1.25	-50.8	0.00000254		
	-49.81757157	8.9242494		
1.5	-61.7143546	5.62356		
	-53.06088465	11.56289897		
2	-35.72761714	5.62356		
	-40.05282693	4.65605246		
2	-42.2249346	-5.62356		
				
2	-22.7355654	-5.62356		
	-21.46595309	7.0998388		
2	-16.24073714	5.62356		
				
2	3.2461454	5.62356		
	-3.2460946	6.53906388		
2	-3.2460946	-5.62356		
				
2	16.2407854	-5.62356		
	15.30014846	7.0998388		
2	22.7355654	5.62356		
				
2	42.2249854	5.62356		
	35.7276654	7.0998388		
2	35.7276654	-5.62356		
				
1.25	50.8	0		
				
2	61.7144054	5.62356		
	55.2170854	7.0998388		
1.5	61.7144054	-5.62356		
	65.87073577	-3.53796375	64.16320177	-9.92912961
1.5	55.2170854	-16.87576		
				
2	45.4736454	-22.50186		
	33.36	-19.27		
1.5	45.4735946	-33.75406		
				
2	25.9842254	-22.50186		
				
2	6.4947546	-22.50186		
				
2	-12.9921254	-22.50186		
				
2	-32.4814946	-22.50186		
				
2	-51.9683746	-22.50186		
				
2	-42.22498794	-39.38016		
				
2	-22.7414328	-39.37		
				
2	-3.2460946	-39.38016		
				
2	16.2407346	-39.38016		
				
2	35.7276654	-39.38016		
	41.23965942	-39.38016		
1.5	35.7276146	-50.63236		
				
2	25.9842254	-56.25846254		
				
2	6.4947546	-56.25846		
				
1.25	0	-50.8		
	-6.4947546	-53.25969225		
2	-12.9920746	-56.25846		
				
1.5	-25.9841746	-56.25846		
				
2	-35.7276146	-50.63235492		
