0	0																																																																									
	55.84026543	32.19141546	48.07521184	28.24308312	35.30893728	33.37591516	23.59555134	32.19141546	11.37	37.10684332	2.66938995	31.27013792	2.6693899	53.12701658	-5.685	53.12701657	-15.09810557	45.95130681	-13.76654631	32.78366531	-29.19807074	38.98809266	-48.11189689	27.31822796	-48.11189689	12.98653745	0	12.98653745	11.36999935	15.81796554	21.7299959	11.41352185	48.07521184	13.61574369	48.07521184	-6.56447219	27.07824895	-6.56447219	11.36999935	-2.90092014	-5.6848803	-6.56447219	-22.74	-4.73269617	-39.795	-6.15833996	-48.11189689	-6.85355734	-48.11189689	-26.25789	-32.53904241	-27.45220294	-29.19807074	-38.29377122	-13.76654631	-45.95130719	-13.76654631	-26.25789	11.36999935	-26.25789	20.58787867	-22.9756535	34.11	-22.9756535	39.795	-26.25789	48.07521184	-26.25789	48.07521184	-13.128945	56.85	-16.411181		
	0																																																																									
	56.85	-32.82241649	51.165	-29.540126																																																																						
	0																																																																									
	45.11563917	-41.60083331	41.30773876	-43.79932563																																																																						
	0																																																																									
	31.6238271	-38.29377122	18.19949715	-43.79932563	8.51666483	-43.79932563	1.59539618	-48.83297556	-9.25841148	-45.95130719																																																																
	0																																																																									
	27.07824895	-47.39214138	28.425	-49.24392407																																																																						
	0																																																																									
	15.99211043	-57.57802304	13.35808099	-59.49368082																																																																						
	0																																																																									
	3.79761802	-53.70932393	1.59539618	-53.70932393																																																																						
	0																																																																									
	0	-59.49368082	0	-64.72043316																																																																						
	0																																																																									
	-12.56174425	-59.49368082	-15.09810557	-57.57802304	-13.76654631	-50.76505243																																																																				
	0																																																																									
	-27.27367836	-47.39214138	-29.19807074	-50.76505243																																																																						
	0																																																																									
	-41.37604109	-44.99645346	-39.7949999	-42.71204992																																																																						
	0																																																																									
	-56.85000003	-32.82241649	-51.16500011	-29.540126																																																																						
	0																																																																									
	-51.16500011	-19.693417	-51.16500011	-13.128945																																																																						
	0																																																																									
	-56.85000003	-17.52996506	-56.85000003	-14.38393385																																																																						
	0																																																																									
	-58.80840299	0	-48.11189689	0	-48.11189689	8.11018928																																																																				
	0																																																																									
	-51.165	12.98653745	-51.165	21.00891722																																																																						
	0																																																																									
	-56.85	15.81796554	-56.85	18.49209226																																																																						
	0																																																																									
	-56.85	32.78366531	-51.165	29.54012567																																																																						
	0																																																																									
	-46.69618284	41.45812007	-42.60634228	34.85145453																																																																						
	0																																																																									
	-31.28062993	43.97494503	-32.53904241	49.03763363	-24.98856752	53.12701657																																																																				
	0																																																																									
	-12.56174425	60.64891043	-10.39155278	57.13159251																																																																						
	0																																																																									
	0	65.36795724	0	58.28938702																																																																						
	0																																																																									
	11.37	60.64891043	9.41964039	55.798016																																																																						
	0																																																																									
	18.19949715	40.15388587	18.19949715	40.15388587	25.20126885	52.13814948	31.6238271	49.03763363																																																																		
	0																																																																									
	48.07521184	24.62685311	51.16499997	16.60447353																																																																						
	0																																																																									
	56.85	18.49209226	56.85	14.71685481																																																																						
	0																																																																									
	59.0104657	0	52.71840329	0																																																																						
	0																																																																									
	20.58787867	-9.8221886	20.58787867	-17.52996506																																																																						
	0																																																																									
	0	-31.18127125	0	-29.540126																																																																						
	0																																																																									
	2.66938995	-19.693417	2.66938995	-9.8221886																																																																						
	0																																																																									
	-15.09810557	-9.8221886	-15.09810557	-19.693417																																																																						
	0																																																																									
	-19.16840979	-26.25789	-27.27367836	-26.25789																																																																						
	0																																																																									
	-32.53904241	-21.46250407	-32.53904241	-9.8221886																																																																						
	0																																																																									
	-31.28062993	18.49209226	-13.76654631	18.49209226	-13.76654631	27.31822796																																																																				
	0																																																																									
	-9.25841148	32.78366531	-2.02253971	32.78366531																																																																						
	0																																																																									
	19.80331206	7.7392282	19.80331206	1.66109846																																																																			2.66938995	7.7392282	2.66938995	1.66109846
