0						
0	-55.2170346	16.87576	-57.40141869	20.52143774	-57.40141869	20.52143774
						
0	-45.4735946	33.75406	-47.60651297	37.43008492	-47.60651297	37.43008492
						
1	-35.7276146	50.63236	-37.85281923	54.31284982	-33.60240997	46.95187018
						
1	-25.9841746	56.25846	-25.9841746	52.00846	-25.9841746	52.00846
						
1	-6.4947546	56.25846	-6.4947546	52.00846	-6.4947546	52.00846
						
1	12.99212794	56.25846	12.99212794	52.00846	12.99212794	52.00846
						
1	35.7276654	50.63236	35.7276654	46.38236	35.7276654	46.38236
						
0	42.2249854	39.38016	46.01536916	41.30252598	46.01536916	41.30252598
						
0	51.9684254	22.50186	55.75880916	24.42422598	55.75880916	24.42422598
						
1	61.7144054	5.62356	57.4644054	5.62356	57.4644054	5.62356
			48.40296376	-2.55580388		
0	55.2170854	-16.87576	58.73555179	-19.25964218	58.73555179	-19.25964218
						
0	45.4735946	-33.75406	48.99206099	-36.13794218	48.99206099	-36.13794218
						
0	35.7276146	-50.63236	33.60240094	-46.9518754	37.85282826	-54.3128446
						
1	25.9842254	-56.25846254	28.36810758	-52.73999615	28.36810758	-52.73999615
						
			26.52912353	-43.85090665	48.59969241	-5.62356
						
0	42.2249927	5.62356671	45.74345909	3.23968453	45.74345909	3.23968453
						
0	35.7276654	-5.62356	39.24613179	-8.00744218	39.24613179	-8.00744218
						
0	25.9842254	-22.50186	29.50269179	-24.88574218	29.50269179	-24.88574218
						
0	16.24056984	-39.38037679	19.75903624	-41.76425897	19.75903624	-41.76425897
						
1	6.49476191	-56.25845328	6.49476191	-52.00845328	6.49476191	-52.00845328
						
1	-12.99206731	-56.2584533	-10.60817149	-52.73999615	-10.60817149	-52.73999615
						
0	-3.2460946	-39.38016	-6.12211087	-36.25109778	-6.12211087	-36.25109778
						
0	6.49476191	-22.50185328	2.97629552	-20.1179711	2.97629552	-20.1179711
						
0	16.2407854	-5.62356	19.92121592	-7.74886732	12.56035488	-3.49825268
						
0	22.73557729	5.62357093	19.05514678	7.74887826	26.41600781	3.49826361
						
0	32.4815454	22.50186	29.60521534	25.63063378	29.60521534	25.63063378
						
0	22.7414328	39.37	24.47745987	35.49073331	24.47745987	35.49073331
						
0	12.9921254	22.50186	15.86845649	19.37308716	15.86845649	19.37308716
						
0	3.2461454	5.62356	6.1141265	2.48713139	6.1141265	2.48713139
						
0	-3.2460946	-5.62356	-0.37007833	-8.75262222	-0.37007833	-8.75262222
						
0	-12.9921254	-22.50186	-9.60842242	-25.07344592	-9.60842242	-25.07344592
						
0	-22.7414328	-39.37	-19.86551693	-42.4991545	-19.86551693	-42.4991545
						
1	-35.7276146	-50.63235492	-35.7276146	-46.38235492	-35.7276146	-46.38235492
						
1	-42.22498794	-39.38016	-37.97498794	-39.38016	-37.97498794	-39.38016
						
0	-32.4814946	-22.50186	-35.72761714	-19.75865231	-35.72761714	-19.75865231
						
0	-22.7355654	-5.62356	-25.9841746	-2.88329756	-25.9841746	-2.88329756
						
0	-16.24073714	5.62356	-19.86551693	7.8424497	-19.86551693	7.8424497
						
0	-6.4947546	22.50186	-10.11953439	24.7207497	-10.11953439	24.7207497
						
0	3.2461967	39.38011285	0.37016444	36.25106532	0.37016444	36.25106532
						
0	-16.2407346	39.38016	-14.57314262	35.47098656	-14.57314262	35.47098656
						
0	-25.9841746	22.50186	-22.85512707	19.62582774	-22.85512707	19.62582774
						
0	-35.72761714	5.62356	-39.40768806	7.74948993	-32.04754622	3.49763007
						
0	-42.2249346	-5.62356	-38.54486368	-7.74948993	-45.90500552	-3.49763007
						
0	-51.9683746	-22.50186	-51.9683746	-18.25186	-51.9683746	-18.25186
						
1	-61.71440794	-5.62356254	-57.46440794	-5.62356254	-57.46440794	-5.62356254
						
			-50.22942287	5.62356	-27.40282564	45.16038616
